interaction_id,customer_name,interaction_type,interaction_date,interaction_channel,feedback_score
1,Alice Johnson,Product Inquiry,2022-03-12,In-store,1
2,Charlie Brown,Product Inquiry,2024-01-06,Phone,9
3,Charlie Brown,Technical Support,2022-08-01,In-store,9
4,Frank Miller,Product Inquiry,2023-11-06,Email,3
5,Henry Wilson,General Inquiry,2022-01-22,In-store,8
6,Frank Miller,Order Issue,2023-07-01,Live Chat,2
7,Emily Davis,General Inquiry,2022-03-22,Live Chat,7
8,Henry Wilson,Feedback,2023-04-24,Email,7
9,Grace Lee,Order Issue,2023-02-18,Social Media,2
10,Emily Davis,Product Inquiry,2022-10-28,Live Chat,10
11,Emily Davis,Technical Support,2023-10-13,Live Chat,4
12,Frank Miller,Technical Support,2023-04-28,Live Chat,1
13,Jack Thompson,Feedback,2022-08-09,In-store,10
14,Ivy Carter,Order Issue,2022-10-27,Email,4
15,Alice Johnson,Technical Support,2023-07-20,Live Chat,8
16,Charlie Brown,Order Issue,2023-08-10,Social Media,6
17,Grace Lee,General Inquiry,2024-01-05,Phone,4
18,Grace Lee,General Inquiry,2022-09-27,Social Media,2
19,Jack Thompson,Order Issue,2022-06-28,Social Media,6
20,Bob Williams,General Inquiry,2022-07-04,Live Chat,6
21,Henry Wilson,Technical Support,2023-04-28,Social Media,5
22,Ivy Carter,Order Issue,2023-01-07,Phone,6
23,Alice Johnson,Order Issue,2023-10-26,Social Media,4
24,Ivy Carter,Technical Support,2023-03-04,In-store,1
25,Grace Lee,General Inquiry,2023-11-21,Phone,1
26,Emily Davis,Technical Support,2023-03-28,In-store,5
27,Charlie Brown,Product Inquiry,2022-03-25,Email,1
28,David Smith,General Inquiry,2024-03-01,Live Chat,7
29,Frank Miller,Order Issue,2023-12-20,Social Media,2
30,David Smith,General Inquiry,2022-05-27,Email,6
31,Emily Davis,General Inquiry,2023-02-14,In-store,5
32,Grace Lee,Product Inquiry,2022-04-04,Phone,1
33,Ivy Carter,Feedback,2024-02-12,Social Media,1
34,Henry Wilson,General Inquiry,2024-01-03,Phone,6
35,Emily Davis,Order Issue,2023-06-21,Phone,6
36,Henry Wilson,Order Issue,2024-02-13,Phone,8
37,Grace Lee,Product Inquiry,2023-06-02,Phone,4
38,Ivy Carter,Order Issue,2023-07-11,Live Chat,6
39,David Smith,Order Issue,2023-10-24,In-store,1
40,David Smith,General Inquiry,2022-06-06,Phone,6
41,Grace Lee,Feedback,2023-09-08,Email,2
42,Emily Davis,Feedback,2023-06-05,Live Chat,10
43,Henry Wilson,Technical Support,2024-01-27,Email,6
44,Charlie Brown,Order Issue,2022-02-22,In-store,5
45,Emily Davis,Product Inquiry,2023-08-11,Social Media,10
46,Frank Miller,Order Issue,2022-12-28,In-store,4
47,Grace Lee,Order Issue,2022-04-02,Social Media,10
48,Ivy Carter,Order Issue,2023-05-04,Email,2
49,Alice Johnson,Feedback,2024-01-09,Social Media,8
50,Alice Johnson,Order Issue,2023-03-22,Phone,1
51,Henry Wilson,Product Inquiry,2023-08-15,Phone,6
52,Ivy Carter,Product Inquiry,2022-05-31,Email,10
53,Henry Wilson,General Inquiry,2024-01-19,In-store,10
54,Jack Thompson,Technical Support,2022-01-19,Email,3
55,Emily Davis,General Inquiry,2022-04-21,Social Media,4
56,Emily Davis,Order Issue,2022-10-05,Email,7
57,Grace Lee,Feedback,2022-04-17,Social Media,3
58,David Smith,Technical Support,2024-01-29,Live Chat,7
59,Jack Thompson,General Inquiry,2022-07-08,Live Chat,5
60,Emily Davis,Feedback,2023-07-12,Social Media,2
61,Jack Thompson,General Inquiry,2022-06-24,In-store,10
62,Alice Johnson,Product Inquiry,2024-01-04,Social Media,4
63,Grace Lee,General Inquiry,2022-10-04,In-store,9
64,Alice Johnson,Order Issue,2024-02-23,Social Media,1
65,Frank Miller,Technical Support,2022-05-18,Live Chat,3
66,Grace Lee,Product Inquiry,2022-05-07,Phone,3
67,Grace Lee,Product Inquiry,2023-01-29,In-store,8
68,Ivy Carter,Technical Support,2022-06-21,Email,1
69,Henry Wilson,Order Issue,2023-01-15,Email,10
70,Alice Johnson,Product Inquiry,2022-11-12,In-store,7
71,Frank Miller,Feedback,2022-10-08,Live Chat,2
72,Grace Lee,General Inquiry,2023-10-08,In-store,10
73,Charlie Brown,Technical Support,2022-10-18,Email,1
74,Emily Davis,Technical Support,2023-01-19,In-store,5
75,Alice Johnson,Technical Support,2023-11-29,Social Media,8
76,Henry Wilson,Product Inquiry,2022-01-27,In-store,9
77,Ivy Carter,Feedback,2023-05-25,Phone,10
78,Grace Lee,General Inquiry,2023-08-01,Live Chat,6
79,Frank Miller,Technical Support,2022-08-20,Email,3
80,Henry Wilson,Technical Support,2024-02-19,Social Media,7
81,Bob Williams,Product Inquiry,2023-02-04,Email,1
82,Ivy Carter,Feedback,2023-02-07,Phone,9
83,Jack Thompson,Feedback,2022-11-05,Social Media,8
84,Henry Wilson,Technical Support,2022-09-24,Phone,7
85,Charlie Brown,Technical Support,2023-01-09,Social Media,4
86,Alice Johnson,General Inquiry,2023-01-29,Live Chat,7
87,Emily Davis,Feedback,2022-10-10,Live Chat,8
88,Henry Wilson,Feedback,2023-02-25,Social Media,2
89,Frank Miller,Feedback,2022-07-06,In-store,8
90,Jack Thompson,General Inquiry,2022-07-18,Live Chat,1
91,Frank Miller,Product Inquiry,2022-03-27,In-store,10
92,Emily Davis,Product Inquiry,2022-02-08,Phone,1
93,Ivy Carter,General Inquiry,2022-09-05,In-store,4
94,Grace Lee,Technical Support,2022-06-17,Social Media,4
95,David Smith,General Inquiry,2023-06-19,Phone,8
96,Emily Davis,Product Inquiry,2022-06-22,Social Media,5
97,Henry Wilson,Feedback,2022-10-01,Live Chat,1
98,Emily Davis,Feedback,2023-07-21,Social Media,5
99,Bob Williams,Product Inquiry,2023-06-03,Live Chat,1
100,Ivy Carter,Technical Support,2022-06-10,Phone,10
101,David Smith,Product Inquiry,2023-08-28,Live Chat,2
102,Ivy Carter,Product Inquiry,2023-02-03,Live Chat,9
103,Frank Miller,Feedback,2023-06-26,Social Media,2
104,Grace Lee,Feedback,2022-08-23,Phone,7
105,Grace Lee,General Inquiry,2022-09-19,Phone,6
106,Ivy Carter,Order Issue,2022-05-19,Email,1
107,Bob Williams,General Inquiry,2023-08-06,In-store,3
108,Henry Wilson,General Inquiry,2023-05-24,Email,2
109,Jack Thompson,Technical Support,2022-07-26,Phone,1
110,Grace Lee,Feedback,2023-03-24,Live Chat,1
111,David Smith,General Inquiry,2022-11-13,Email,4
112,Grace Lee,Technical Support,2023-12-08,Live Chat,10
113,David Smith,Order Issue,2024-01-30,Email,1
114,Alice Johnson,General Inquiry,2022-12-19,Phone,7
115,Jack Thompson,Feedback,2023-06-20,In-store,8
116,Ivy Carter,Feedback,2022-04-24,Social Media,6
117,Ivy Carter,Order Issue,2022-02-04,In-store,3
118,Frank Miller,Technical Support,2022-09-12,Email,4
119,Ivy Carter,General Inquiry,2023-04-25,Email,2
120,David Smith,Feedback,2024-02-09,Social Media,7
121,Alice Johnson,General Inquiry,2023-06-01,Phone,7
122,Jack Thompson,Product Inquiry,2023-02-16,Phone,9
123,Jack Thompson,Product Inquiry,2023-07-01,Live Chat,7
124,Frank Miller,Order Issue,2023-02-16,In-store,2
125,Bob Williams,Technical Support,2022-10-15,Social Media,4
126,Henry Wilson,General Inquiry,2023-06-26,Phone,2
127,Frank Miller,Feedback,2022-02-04,Email,3
128,Jack Thompson,Technical Support,2023-08-25,Social Media,6
129,Alice Johnson,Product Inquiry,2023-06-05,Social Media,5
130,Alice Johnson,Order Issue,2023-02-05,Social Media,2
131,Henry Wilson,Order Issue,2023-04-12,Live Chat,2
132,Bob Williams,Feedback,2024-02-04,In-store,8
133,Grace Lee,Product Inquiry,2023-07-06,Phone,5
134,Charlie Brown,Order Issue,2022-09-23,Live Chat,2
135,Alice Johnson,Feedback,2022-04-19,In-store,2
136,Henry Wilson,Feedback,2023-07-15,Social Media,3
137,Emily Davis,Technical Support,2022-12-03,Live Chat,5
138,Henry Wilson,Product Inquiry,2023-03-23,In-store,1
139,Jack Thompson,Feedback,2022-01-03,In-store,7
140,Henry Wilson,Product Inquiry,2023-07-21,Email,2
141,Emily Davis,Order Issue,2024-01-28,Email,7
142,Bob Williams,Order Issue,2023-05-17,In-store,6
143,Ivy Carter,Technical Support,2023-06-06,In-store,10
144,David Smith,General Inquiry,2022-12-10,Email,4
145,Frank Miller,Feedback,2023-04-23,Social Media,6
146,Bob Williams,General Inquiry,2022-08-08,Live Chat,10
147,Frank Miller,General Inquiry,2022-07-19,Live Chat,10
148,David Smith,Product Inquiry,2022-05-27,Social Media,5
149,Ivy Carter,Feedback,2022-02-23,Phone,9
150,Charlie Brown,Technical Support,2022-07-07,Social Media,10
151,Jack Thompson,General Inquiry,2022-07-22,Social Media,4
152,Emily Davis,Feedback,2023-05-25,Live Chat,8
153,Alice Johnson,General Inquiry,2023-04-22,In-store,6
154,Ivy Carter,Product Inquiry,2022-11-29,Phone,8
155,Ivy Carter,Technical Support,2023-10-13,In-store,5
156,Grace Lee,Product Inquiry,2022-04-04,Email,2
157,Grace Lee,Product Inquiry,2023-02-08,Email,6
158,Ivy Carter,Technical Support,2022-03-26,Email,1
159,Bob Williams,General Inquiry,2022-12-13,Email,4
160,Bob Williams,Feedback,2023-01-19,Email,7
161,Grace Lee,Order Issue,2023-06-22,Email,10
162,Alice Johnson,General Inquiry,2022-08-31,Live Chat,5
163,David Smith,Product Inquiry,2023-11-17,Live Chat,9
164,Emily Davis,General Inquiry,2023-07-14,In-store,8
165,Ivy Carter,Feedback,2023-09-12,In-store,3
166,Emily Davis,Product Inquiry,2022-04-17,Phone,1
167,David Smith,Feedback,2023-11-19,Email,3
168,David Smith,Order Issue,2022-07-24,Phone,7
169,Alice Johnson,Product Inquiry,2022-06-15,Live Chat,1
170,Frank Miller,Product Inquiry,2022-04-18,In-store,10
171,Jack Thompson,Order Issue,2024-02-24,Social Media,7
172,Henry Wilson,Product Inquiry,2022-07-22,Live Chat,8
173,Jack Thompson,Product Inquiry,2022-05-28,Phone,8
174,Jack Thompson,General Inquiry,2022-01-15,Phone,8
175,Emily Davis,General Inquiry,2022-05-07,Phone,10
176,Charlie Brown,Technical Support,2024-01-17,In-store,3
177,Charlie Brown,General Inquiry,2023-05-13,Phone,10
178,Grace Lee,Feedback,2022-04-19,Live Chat,9
179,Charlie Brown,Feedback,2023-06-03,In-store,2
180,David Smith,Feedback,2023-05-08,Phone,3
181,David Smith,Feedback,2023-06-25,Phone,6
182,Grace Lee,Product Inquiry,2022-03-17,Email,2
183,Alice Johnson,Feedback,2024-01-05,Email,6
184,Ivy Carter,Product Inquiry,2024-02-27,Email,8
185,Charlie Brown,Product Inquiry,2022-09-10,Phone,4
186,Bob Williams,Feedback,2024-02-24,In-store,7
187,Alice Johnson,Feedback,2022-11-26,Phone,9
188,Emily Davis,Technical Support,2023-12-31,Email,9
189,Henry Wilson,Order Issue,2024-01-27,In-store,2
190,David Smith,Technical Support,2022-12-03,Phone,8
191,Jack Thompson,Order Issue,2023-05-19,Phone,6
192,Bob Williams,General Inquiry,2022-01-17,Social Media,5
193,Bob Williams,General Inquiry,2022-02-25,In-store,2
194,Alice Johnson,General Inquiry,2023-03-20,Live Chat,9
195,David Smith,Product Inquiry,2022-11-17,Live Chat,5
196,Frank Miller,Order Issue,2023-06-10,Email,8
197,Ivy Carter,Product Inquiry,2023-12-01,Social Media,10
198,Henry Wilson,Feedback,2023-01-03,In-store,10
199,Grace Lee,Product Inquiry,2023-11-21,In-store,10
200,Frank Miller,Order Issue,2022-11-23,Live Chat,1
201,Emily Davis,General Inquiry,2024-02-12,Social Media,1
202,David Smith,General Inquiry,2022-01-28,Social Media,8
203,Ivy Carter,Product Inquiry,2022-01-31,Email,5
204,Emily Davis,Feedback,2022-06-17,Social Media,7
205,David Smith,Product Inquiry,2023-09-04,Phone,10
206,David Smith,Order Issue,2022-05-05,Social Media,5
207,Grace Lee,General Inquiry,2023-05-28,In-store,4
208,Charlie Brown,Product Inquiry,2022-06-12,Email,10
209,Charlie Brown,Product Inquiry,2023-05-25,Phone,10
210,Charlie Brown,General Inquiry,2023-01-12,Email,1
211,Henry Wilson,Product Inquiry,2022-03-29,Email,3
212,Charlie Brown,Technical Support,2023-08-07,In-store,1
213,Jack Thompson,Product Inquiry,2023-01-16,Email,7
214,Grace Lee,Order Issue,2023-01-15,Live Chat,9
215,Frank Miller,General Inquiry,2023-02-27,Social Media,9
216,Bob Williams,Product Inquiry,2022-02-27,Email,1
217,Grace Lee,Technical Support,2022-09-15,Social Media,10
218,Emily Davis,Order Issue,2023-06-29,In-store,6
219,Frank Miller,Product Inquiry,2023-06-24,Live Chat,8
220,Grace Lee,Feedback,2023-11-15,In-store,5
221,David Smith,General Inquiry,2023-03-20,Live Chat,10
222,Alice Johnson,Product Inquiry,2023-06-28,Email,6
223,Henry Wilson,Feedback,2022-03-26,Email,6
224,Alice Johnson,Order Issue,2022-08-11,Social Media,10
225,Charlie Brown,Feedback,2022-01-10,Social Media,8
226,Grace Lee,Order Issue,2022-08-01,Phone,6
227,Emily Davis,Product Inquiry,2022-10-04,Live Chat,7
228,Ivy Carter,Product Inquiry,2023-06-12,Email,1
229,Charlie Brown,Product Inquiry,2023-08-19,In-store,4
230,Grace Lee,General Inquiry,2022-10-29,Phone,10
231,Jack Thompson,Technical Support,2023-05-22,In-store,9
232,David Smith,Order Issue,2023-12-21,Email,6
233,Emily Davis,Feedback,2022-06-13,Social Media,9
234,Jack Thompson,Feedback,2023-03-05,Phone,1
235,Charlie Brown,Order Issue,2023-05-12,Social Media,3
236,Henry Wilson,Technical Support,2022-12-26,In-store,7
237,Alice Johnson,General Inquiry,2022-12-24,Social Media,9
238,Henry Wilson,Technical Support,2022-10-02,Phone,9
239,Bob Williams,Order Issue,2022-10-03,Email,8
240,Grace Lee,Feedback,2022-05-22,Live Chat,9
241,Ivy Carter,General Inquiry,2022-02-06,Live Chat,4
242,Ivy Carter,Order Issue,2023-11-17,In-store,6
243,Bob Williams,General Inquiry,2023-10-17,Phone,4
244,Frank Miller,Feedback,2023-05-08,Phone,1
